Question No.,Name,Problem Link,C++ Solution Link,Python Solution Link,Status,Category,Difficulty,Basic Idea,Section,Time Complexity,Space Complexity,Premium,Tags
938,Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst/,https://github.com/astromanish/CP/blob/master/final_solution/0938.%20Range%20Sum%20of%20BST/0938.cpp,,Not started,Tree,Easy,,Tree,,,,
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,https://github.com/astromanish/CP/blob/master/final_solution/0543.%20Diameter%20of%20Binary%20Tree/0543.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0543.%20Diameter%20of%20Binary%20Tree/0543.py,Not started,Tree,Easy,DFS with O(1) for max answer,Tree,,,,
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,https://github.com/astromanish/CP/blob/master/final_solution/0680.%20Valid%20Palindrome%20II/0680.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0680.%20Valid%20Palindrome%20II/0680.py,Not started,String,Easy,"Recursively check s[left == end, when not equal delete left or right.",String,,,,
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,https://github.com/astromanish/CP/blob/master/final_solution/0108.%20Convert%20Sorted%20Array%20to%20Binary%20Search%20Tree/0108.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0108.%20Convert%20Sorted%20Array%20to%20Binary%20Search%20Tree/0108.py,Not started,Tree / DFS,Easy,,Tree,,,,
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://github.com/astromanish/CP/blob/master/final_solution/0121.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock/0121.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0121.%20Best%20Time%20to%20Buy%20and%20Sell%20Stock/0121.py,Done,Array / Dynamic Programming,Easy,,Array,,,,
293,Flip Game,https://leetcode.com/problems/flip-game/,https://github.com/astromanish/CP/blob/master/final_solution/0293.%20Flip%20Game/0293.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0293.%20Flip%20Game/0293.py,Not started,String,Easy,,String,,,,
633,Sum of Square Numbers,https://leetcode.com/problems/sum-of-square-numbers/,https://github.com/astromanish/CP/blob/master/final_solution/0633.%20Sum%20of%20Square%20Numbers/0633.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0633.%20Sum%20of%20Square%20Numbers/0633.py,Not started,Math,Easy,,Mathematics,,,,
136,Single Number,https://leetcode.com/problems/single-number/,https://github.com/astromanish/CP/blob/master/final_solution/0136.%20Single%20Number/0136.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0136.%20Single%20Number/0136.py,Done,Bit Manipulation,Easy,"1. Hash or set, O(n) and O(n)<br>2. xor O(n) and O(1)",Bit Manipulation,,,,
482,License Key Formatting,https://leetcode.com/problems/license-key-formatting/,https://github.com/astromanish/CP/blob/master/final_solution/0482.%20License%20Key%20Formatting/0482.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0482.%20License%20Key%20Formatting/0482.py,Not started,Array,Easy,"String processing, lower and len % K, O(n) and O(n)",Array,,,,
441,Arranging Coins,https://leetcode.com/problems/arranging-coins/,https://github.com/astromanish/CP/blob/master/final_solution/0441.%20Arranging%20Coins/0441.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0441.%20Arranging%20Coins/0441.py,Not started,Math,Easy,O(n) time.,Mathematics,,,,
