Question No.,Name,Title Link,Basic Idea
1,Two Sum,https://leetcode.com/problems/two-sum/,1. Hash O(n) and O(n) space.<br>2. Sort and search with two points O(n) and O(1) space.
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Take care of the carry from lower digit.
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,"Overflow, Space, and negative number"
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,"Get the len and check left and right with 10^len, 10"
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,"1. Brute Force, O(n^2) and O(1)<br>2. Two points, O(n) and O(1) "
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,"[Background knowledge](http://www.rapidtables.com/convert/number/how-number-to-roman-numerals.htm) Just like 10-digit number, divide and minus"
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,"Add all curr, if curr > prev, then need to subtract 2 * prev"
15,3Sum,https://leetcode.com/problems/3sum/,1. Sort and O(n^2) search with three points <br>2. Multiple Two Sum (Problem 1)
18,4Sum,https://leetcode.com/problems/4sum/,"The same as 3Sum, but we can merge pairs with the same sum"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,"1. Go through list and get length, then remove length-n, O(n) and O(n)<br>2. Two pointers, first pointer goes to n position, then move both pointers until reach tail, O(n) and O(n)"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,"1. Stack<br>2. Replace all parentheses with '', if empty then True"
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,"Add a dummy head, then merge two sorted list in O(m+n)"
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,1. Priority queue O(nk log k)<br>2. Binary merge O(nk log k)| 
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Add a dummy and store the prev
28,Implement strStr(),https://leetcode.com/problems/implement-strstr/,1. O(nm) comparison <br>2. KMP
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Binary Search
46,Permutations,https://leetcode.com/problems/permutations/,"1. Python itertools.permutations<br>2. DFS with swapping, O(n^2) and O(n^2)<br>3. iteratively generate n-permutations with (n-1)-permutations, O(n^3) and O(n^2)"
