Section,Question No.,Time Complexity,Space Complexity,Premium,Tags,Notes
Bit Manipulation,2151,O(n^2 * 2^n),O(1),,"Bitmasks, Brute Force",
Bit Manipulation,2212,O(n * 2^n),O(n),,"Bitmasks, Brute Force",
Bit Manipulation,2220,O(logn),O(1),,Bit Manipulation,
Bit Manipulation,2275,O(nlogr),O(logr),,"Bit Manipulation, Freq Table",
Bit Manipulation,2317,O(n),O(1),,"Bit Manipulation, Greedy",
Bit Manipulation,2397,"O(m * n + m * C(n, k))",O(m),,"Bitmasks, `Hakmem Item 175`",
Bit Manipulation,2411,O(n),O(1),,"Bitmasks, Hash Table",
Bit Manipulation,2419,O(n),O(1),,Bit Manipulation,
Bit Manipulation,2425,O(n),O(1),,Bit Manipulation,
Bit Manipulation,2429,O(logn),O(1),,"Bit Manipulation, Greedy",
Bit Manipulation,2505,O(n),O(1),🔒,Bit Manipulation,
Bit Manipulation,2527,O(n),O(1),,"Bit Manipulation, Math",
Bit Manipulation,2595,O(1),O(1),,Bit Manipulation,
Array,2007,O(n + klogk),O(k),,,variant of [Array of Doubled Pairs](https://leetcode.com/problems/array-of-doubled-pairs/)
Array,2011,O(n),O(1),,,
Array,2012,O(n),O(n),,Prefix Sum,
Array,2016,O(n),O(1),,,variant of [Best Time to Buy and Sell Stock](https://leetcode.com/problems/best-time-to-buy-and-sell-stock/)
Array,2017,O(n),O(1),,Prefix Sum,
Array,2018,O(m * n),O(1),,,
Array,2022,O(m * n),O(1),,,
Array,2033,O(m * n)  on average,O(m * n),,"Math, Median, Quick Select",variant of [Minimum Moves to Equal Array Elements II](https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/)
Array,2035,O(n * 2^n),O(2^n),,Meet in the Middle,
Array,2038,O(n),O(1),,,
Array,2055,O(n + q),O(n),,Prefix Sum,
Array,2057,O(n),O(1),,,
Array,2075,O(n),O(1),,,
Array,2078,O(n),O(1),,,
Array,2079,O(n),O(1),,,
Array,2098,O(n) on average,O(1),🔒,Quick Select,
Array,2099,O(n) on average,O(n),,Quick Select,
Array,2100,O(n),O(n),,Prefix Sum,
Array,2106,O(n),O(n),,Prefix Sum,
Array,2113,O(n),O(1),🔒,,
Array,2121,O(n),O(n),,Prefix Sum,
Array,2122,O(n^2),O(n),,,
Array,2128,O(m * n),O(1),🔒,,
Array,2132,O(m * n),O(m * n),,Prefix Sum,
Array,2155,O(n),O(1),,Prefix Sum,
Array,2194,O(26^2),O(1),,,
Array,2210,O(n),O(1),,Simulation,
Array,2219,O(n),O(1),🔒,Prefix Sum,
Array,2237,O(n + l),"O(min(n, l))",🔒,Line Sweep,
Array,2239,O(n),O(1),,Array,
