Question No.,Name,Solution Link,Difficulty,Tags,Discuss Link
100,Same Tree,https://leetcode.com/problems/same-tree/description/,Easy,Tree / DFS,https://discuss.leetcode.com/topic/119725/3-lines-c-dfs-bfs
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/description/,Easy,Tree,https://leetcode.com/problems/symmetric-tree/discuss/122862/Straightforward-C++-recursive-iterative-solution
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/description/,Medium,Tree / DFS / BFS,https://discuss.leetcode.com/topic/97026/clean-c-bfs-dfs-solutions
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/,Medium,Tree / BFS,https://discuss.leetcode.com/topic/107704/3ms-c-bfs
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/,Easy,Tree,https://discuss.leetcode.com/topic/77605/2-lines-c-dfs
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/,Medium,Array / Tree / DFS,https://discuss.leetcode.com/topic/97266/c-8-9-11-lines-of-recursion
107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description/,Easy,Tree,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/discuss/122866/9-lines-C++
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/,Easy,Tree / DFS,https://discuss.leetcode.com/topic/86819/c-13ms-recursion
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/description/,Medium,Linked List / DFS,https://discuss.leetcode.com/topic/97670/simple-c-divide-conquer-o-1-space
111,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/description/,Easy,Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/discuss/123625/4-lines-C++
112,Path Sum,https://leetcode.com/problems/path-sum/description/,Easy,Tree / DFS,https://leetcode.com/problems/path-sum/discuss/123050/4-lines-C++
113,Path Sum II,https://leetcode.com/problems/path-sum-ii/description/,Medium,Tree / DFS,https://discuss.leetcode.com/topic/101541/13-lines-c-dfs
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/,Medium,Tree / DFS,https://discuss.leetcode.com/topic/104435/11-lines-c-o-1-space-dfs
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description/,Medium,Tree / BFS,https://discuss.leetcode.com/topic/82444/simple-c-15ms-bfs-solution
117,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description/,Medium,Tree / Level-order Traversal,https://discuss.leetcode.com/topic/82450/c-25ms-two-deque-solution-beats-91-9
