Question No.,Name,Problem Link,C++ Solution Link,Python Solution Link,Status,Category,Difficulty,Basic Idea,Section,Time Complexity,Space Complexity,Premium,Tags
563,Binary Tree Tilt,https://leetcode.com/problems/binary-tree-tilt/,https://github.com/astromanish/CP/blob/master/final_solution/0563.%20Binary%20Tree%20Tilt/0563.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0563.%20Binary%20Tree%20Tilt/0563.py,Not started,,Easy,,,,,,nan
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,https://github.com/astromanish/CP/blob/master/final_solution/0387.%20First%20Unique%20Character%20in%20a%20String/0387.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0387.%20First%20Unique%20Character%20in%20a%20String/0387.py,Not started,,Easy,"Get frequency of each letter, return first letter with frequency 1, O(n) and O(1) ",,,,,nan
709,To Lower Case,https://leetcode.com/problems/to-lower-case/,https://github.com/astromanish/CP/blob/master/final_solution/0709.%20To%20Lower%20Case/0709.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0709.%20To%20Lower%20Case/0709.py,Not started,,Easy,String processing:<br>1. str.lower() or str.toLowerCase()<br>2. ASCII processing. O(n) and O(1),,,,,nan
811,Subdomain Visit Count,https://leetcode.com/problems/subdomain-visit-count/,https://github.com/astromanish/CP/blob/master/final_solution/0811.%20Subdomain%20Visit%20Count/0811.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0811.%20Subdomain%20Visit%20Count/0811.py,Not started,,Easy,"String split and HashMap, O(n) and O(n)",,,,,nan
938,Range Sum of BST,https://leetcode.com/problems/range-sum-of-bst/,https://github.com/astromanish/CP/blob/master/final_solution/0938.%20Range%20Sum%20of%20BST/0938.cpp,,Not started,Tree,Easy,,Tree,,,,Tree
590,N-ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal/,https://github.com/astromanish/CP/blob/master/final_solution/0590.%20N-ary%20Tree%20Postorder%20Traversal/0590.cpp,,Not started,,Easy,,,,,,nan
1295,Find Numbers with Even Number of Digits,https://leetcode.com/problems/find-numbers-with-even-number-of-digits/,https://github.com/astromanish/CP/blob/master/final_solution/1295.%20Find%20Numbers%20with%20Even%20Number%20of%20Digits/1295.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1295.%20Find%20Numbers%20with%20Even%20Number%20of%20Digits/1295.py,Not started,,Easy,,,,,,nan
27,Remove Element,https://leetcode.com/problems/remove-element/,https://github.com/astromanish/CP/blob/master/final_solution/0027.%20Remove%20Element/0027.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0027.%20Remove%20Element/0027.py,Not started,,Easy,,,,,,nan
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,https://github.com/astromanish/CP/blob/master/final_solution/0543.%20Diameter%20of%20Binary%20Tree/0543.cpp,https://github.com/astromanish/CP/blob/master/final_solution/0543.%20Diameter%20of%20Binary%20Tree/0543.py,Not started,Tree,Easy,DFS with O(1) for max answer,Tree,,,,Tree
1304,Find N Unique Integers Sum up to Zero,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,https://github.com/astromanish/CP/blob/master/final_solution/1304.%20Find%20N%20Unique%20Integers%20Sum%20up%20to%20Zero/1304.cpp,https://github.com/astromanish/CP/blob/master/final_solution/1304.%20Find%20N%20Unique%20Integers%20Sum%20up%20to%20Zero/1304.py,Not started,,Easy,"[1,n-1] and its negative sum",,,,,nan
